x_coordinate,y_coordinate,cluster
-2.9349913389419173,-7.007745832630756,5
6.356236597272598,0.8847887657520945,2
-7.0835610086270995,3.3034271939394158,3
-3.6784418802285597,-7.383803432409786,5
-2.803185833224554,-1.294133898720709,1
-3.423622714524842,-6.799496899459276,5
-3.639748865708895,-7.379932289501168,5
6.355766488446305,0.5948034104170972,2
-8.899674812320916,5.5328787133636075,4
-6.957106408358125,3.1437519904000286,3
-8.519891298958393,6.034405696598286,4
-8.769745021335776,6.3772408264080145,4
-3.3693510563638163,-7.226629152840877,5
-9.41443844061313,5.97438250896829,4
6.375747396482936,0.764894925708215,2
-7.277018688079189,2.7957409602681125,3
-3.281631038092119,-7.228290110929866,5
-3.749178026648343,-7.527401904142108,5
-2.9104887118758858,-1.133757000151647,1
-3.3881469006640006,-1.2350693655513318,1
-9.11068557579975,5.791470417200601,4
-6.911694892716119,3.016037047256078,3
-2.865667206430337,-0.46138391622633923,1
-9.95390161624728,5.566912442312468,4
-3.7780164850875844,-7.122776399310667,5
-2.844579228011331,-7.241739274803731,5
6.638588217257173,0.729803073714779,2
-3.26995064917575,-1.3548111555996933,1
6.3938855916728965,0.7525146019997507,2
6.869044256010752,0.8475617021784169,2
-2.8245531891943276,-6.840096618745819,5
-3.1732357532692554,-6.7797296378350795,5
-9.219525199057097,5.377264717967038,4
-8.965296518656375,5.61103295529843,4
-6.90002344737623,3.286890315314726,3
-9.600518190802735,5.5045853567910665,4
-3.357505644277404,-7.389080514537081,5
-3.0407472694673268,-7.217853976264792,5
-3.3950621951996416,-7.015861992669911,5
-3.52999135809439,-7.058096195279174,5
-9.812345787845441,5.642193324395564,4
-3.424401752702664,-6.6518797798939735,5
-8.600327057324206,5.672064818104682,4
-3.268529563597561,-1.467836681669312,1
-8.45843103116753,5.540439888078542,4
-3.168197975768347,-6.7066023414049285,5
-8.622594362539603,5.661270008708461,4
-6.888348339887703,3.5189310111865133,3
-3.5892364533570924,-6.659882095338491,5
-2.5228792470710664,-6.726390045343829,5
-9.657602626618983,5.111494940662811,4
6.180754601324268,0.5917717937978574,2
6.5416883334381115,0.8627850078831257,2
-7.08693289725651,3.4359369497393604,3
6.075411689937464,0.2627912742555167,2
-8.981224018179992,5.210286757176235,4
-7.243533504018901,3.276265734161864,3
-8.259792942145292,6.2681547105411,4
-6.742449323677584,2.3310409628935944,3
-8.7147445224681,5.801762575285283,4
-2.933143712780374,-6.209922338175231,5
-7.255090464339208,3.300781666355242,3
-9.300440337773903,5.9330593039847725,4
6.113446213951584,0.3413716338506669,2
-9.052190380266191,5.6975836753907885,4
-9.649909347244336,5.018605194380309,4
7.164798531341798,1.6723581189083858,2
-9.187226711295311,5.178563962033386,4
6.499641898825348,0.7680416404873677,2
-6.0708627167798666,2.9657895711532842,3
-3.206074433454005,-1.361461253645409,1
-2.536920486314895,-0.4975800781990687,1
-3.1348130746022767,-1.06850044658775,1
-8.99503250365231,6.3270398365959,4
6.524484195235214,0.24964795142727692,2
7.115035171049448,0.8520627690027488,2
-6.764369323219384,2.761095337315731,3
6.601345793110049,0.35785977266608554,2
-2.855868278749801,-7.413794250075036,5
-3.6960286238154474,-7.739667444245361,5
6.99097549637809,0.5018864237299814,2
-3.0974985385841363,-1.4061625295069555,1
-7.591801377154198,2.951352623138355,3
6.802944294629182,0.48886120880564954,2
6.673891657739559,0.2069717035241816,2
-7.022451236927385,3.629075969312198,3
-6.770270326201321,3.6870254528151807,3
-3.5572565957656943,-1.6055121614147705,1
-3.0129361969763364,-7.290007595181132,5
-10.274837325659579,4.651370949592563,4
6.102701603219951,-0.39900583374021803,2
-3.450151060093919,-7.171200146882291,5
-6.960454164712157,3.644045450519211,3
-8.860836731878624,5.53078484542785,4
6.713122272481639,0.7339252705381134,2
-6.954475484547593,3.4823055692455243,3
-3.4070823616350956,-1.6970419396875798,1
-7.006425988779195,2.970679728877802,3
6.631266711739642,0.8035747249757866,2
-3.16642134779289,-7.556683434047239,5
-9.475196758585565,5.448765344344637,4
-9.319329373543045,5.5195638961448665,4
-9.13393657580989,6.038023862511075,4
-3.7948554845947027,-2.2172127054666566,1
-3.4950781800433464,-1.762062342914056,1
-3.1502435553157135,-0.3166896757242297,1
-3.4847469523942864,-6.968648421777417,5
-3.11785590259416,-1.4955617741156308,1
-3.4930752040290325,-7.420608782816427,5
-9.557883242881797,5.15365911375811,4
-9.623219378463512,5.470816609304559,4
-7.1973418600822425,3.2886674642835194,3
6.6520530555911535,1.0482142270755237,2
-8.748672483883484,6.342330841584795,4
-3.4623728849927673,-7.212974567886212,5
-3.0574820297201257,-7.145137712586063,5
-9.919217153247306,5.572077812789418,4
-3.3647606455686416,-1.9390408294856116,1
-3.218184784886545,-1.56408791095236,1
-3.3789417514183406,-0.8473332562834086,1
-9.282059932327378,6.104107133674503,4
6.922554337844415,0.83831480141909,2
-3.617557473874453,-1.7700556279518138,1
-6.943792068072999,2.7153501500763473,3
6.699439470612598,1.1657269722041115,2
-8.149844410179773,6.012944482477406,4
-3.557809186216647,-1.3571323412108638,1
7.06174554520119,0.3031118649156271,2
